task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_mini_no_context_nmae,gpt4o_mini_no_context_da,gpt4o_mini_with_context_nmae,gpt4o_mini_with_context_da,arima_score,ets_score,llmp_with_context_score,gpt4o_mini_with_context_score,selected_model
task_000,0.9880456777511262,0.78125,0.9968329151341726,0.78125,1.226976158872005,0.5,1.4380789086925183,0.40625,1.371137753499073,0.78125,0.4009444083455865,0.78125,0.7735679338758288,0.7701788893960213,0.0,0.8,gpt4o_mini_with_context
task_001,0.3616123384271765,0.96875,0.3647931633771787,0.96875,142.1148246227655,0.625,170.0840846184126,0.78125,0.7718136708599689,0.03125,0.8638099741559887,0.03125,1.0,0.9999925034677912,0.32000000000000006,0.39881642630116687,arima
task_002,0.853742016396195,0.09375,0.8517923855688003,0.125,177.8559565164385,0.875,176.82221928294385,0.875,0.8533608143468288,0.125,0.8458107837933289,0.75,0.5999819720548442,0.615986403628017,0.4,0.736,gpt4o_mini_with_context
task_003,0.7416361237558239,0.0625,0.7280875786953913,0.0,0.7307943319835126,0.0,0.7306736285003304,0.0,0.7305604321296871,0.0,0.7284852031347264,0.0,0.6000000000000001,0.6000000000000001,0.32365084831163493,0.38826074866160093,arima
task_004,0.3036474634975605,0.9375,0.3048039345949362,0.9375,50.21333436554773,0.9375,330.2763528644597,0.9375,0.3036767526025199,0.9375,0.349494748590544,0.9375,0.6000000000000001,0.5999985981008993,0.0,0.3999444229363913,arima
task_005,0.974817412034549,0.65625,0.9848648543413124,0.65625,1.3175690440470298,0.65625,1.2860354422329028,0.65625,0.5275087766998332,0.84375,0.9699905328504526,0.5625,0.9938908945649172,0.981174420407626,0.4,0.4,arima
task_006,0.2400996413985746,0.59375,0.5312085297999862,0.59375,0.1901867081740713,0.40625,0.2007068937334407,0.40625,0.1844956978240695,0.40625,0.1928596862222516,0.40625,0.9441523669159877,0.6000000000000001,0.39072293857639717,0.4,arima
task_007,0.9994849705143336,0.53125,0.9992428275463344,0.46875,0.9967262980893404,0.53125,0.996601733904116,0.53125,1.0018510502031697,0.4375,0.8951626922309117,0.78125,0.28,0.2009284420240184,0.09105511366377356,0.8,gpt4o_mini_with_context
task_008,0.9627674041792852,1.0,1.0471314920697097,1.0,0.4626842817497419,1.0,0.4890420135249696,1.0,0.988238360000566,1.0,0.9807829928484711,1.0,0.26046635253573336,0.2,0.4,0.04755402262321606,llmp_with_context
task_009,0.2287629678343515,0.5625,0.2050217819665586,0.90625,0.2478757044975303,0.09375,0.2472018527125442,0.09375,0.2431365422963409,0.09375,0.2708407581126423,0.09375,0.6864875220103472,1.0,0.14366012225794642,0.0,ets
