task_id,arima_nmae,arima_da,ets_nmae,ets_da,llmp_no_context_nmae,llmp_no_context_da,llmp_with_context_nmae,llmp_with_context_da,gpt4o_mini_no_context_nmae,gpt4o_mini_no_context_da,gpt4o_mini_with_context_nmae,gpt4o_mini_with_context_da,arima_score,ets_score,llmp_with_context_score,gpt4o_mini_with_context_score,selected_model
task_000,0.0672645739910315,1.0,0.0805893143924149,1.0,0.0612189835575486,1.0,0.0657970104633782,1.0,0.2242152466367713,0.0,0.0896860986547084,1.0,0.5754270482674027,0.35231697734859374,0.4,0.0,arima
task_001,0.1572327044025158,1.0,0.2520758275977106,1.0,0.1618142893081761,1.0,0.16404,1.0,0.290566037735849,0.3333333333333333,0.1735849056603773,1.0,0.6000000000000001,0.2,0.37129029341020653,0.3310347415522901,arima
task_002,0.2899999999999999,0.0,0.6074286327107481,0.0,0.4053839999999999,0.0,0.4376773333333332,0.0,0.7399999999999999,0.0,0.5,0.0,0.6000000000000001,0.2,0.21390798672166175,0.13537358844202405,arima
task_003,0.2125000006536069,0.3333333333333333,0.129167295667684,0.3333333333333333,0.2221194444444444,0.3333333333333333,0.2031204166666666,0.3333333333333333,0.2041666666666666,0.3333333333333333,0.1875,0.3333333333333333,0.2,0.6000000000000001,0.045022342613382185,0.12000090796443041,ets
task_004,0.1689497716894975,0.1666666666666666,0.1302457292930575,0.1666666666666666,0.1716071537290715,0.1666666666666666,0.1281806697108067,0.1666666666666666,0.1141552511415525,0.1666666666666666,0.045662100456621,0.8333333333333334,0.2,0.32557311533067224,0.1322730864197527,0.8,gpt4o_mini_with_context
task_005,0.111872146422634,0.8333333333333334,0.1035224739655889,0.8333333333333334,0.107687214611872,0.8333333333333334,0.0988360730593607,0.8333333333333334,0.2671232876712328,0.1666666666666666,0.2397260273972602,0.0,0.9629893460480268,0.9866948614519706,0.8,0.0,ets
task_006,0.381471390499741,0.1666666666666666,0.1716622520485749,0.8333333333333334,0.3584109900090826,0.1666666666666666,0.3518674841053588,0.1666666666666666,0.1498637602179836,0.8333333333333334,0.3297002724795641,0.1666666666666666,0.2,1.0,0.05643968916305835,0.09870135953535085,ets
task_007,0.2807017543859648,0.0,0.6122806223150392,0.0,0.2140538986354775,1.0,0.3039996101364521,0.1666666666666666,1.0175438596491226,0.0,0.108187134502924,1.0,0.46310902715145563,0.2,0.31128876128375804,0.8,gpt4o_mini_with_context
task_008,0.2203389830508475,0.0,0.4308312901327695,0.1666666666666666,0.1843501694915253,0.8333333333333334,0.2091007909604519,0.8333333333333334,0.3491525423728813,0.1666666666666666,0.3152542372881355,0.1666666666666666,0.5797263937395245,0.27999999999999997,0.8,0.28850005439227083,llmp_with_context
task_009,0.175,0.5,0.4075893071287466,0.5,0.1893351041666666,0.5,0.1865886458333332,0.5,0.1562499999999999,0.5,0.1937499999999999,0.6666666666666666,0.6000000000000001,0.2,0.3800702001714662,0.7677543215868973,gpt4o_mini_with_context
